2025-11-01 17:52:28,335 INFO  Initializing training sample streamer
2025-11-01 17:52:28,373 INFO  成功加载对话数据，共 595 条对话
2025-11-01 17:52:28,374 WARNING  加载数据失败，使用空数据: Expecting value: line 1 column 1 (char 0)
2025-11-01 17:52:28,376 WARNING  没有更多数据可供选择，返回空列表
2025-11-01 17:52:28,973 WARNING  '(MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /roberta-base/resolve/main/tokenizer_config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"), '(Request ID: 132e08e4-505c-4773-89d1-14e906045109)')' thrown while requesting HEAD https://huggingface.co/roberta-base/resolve/main/tokenizer_config.json
2025-11-01 17:52:28,974 WARNING  Retrying in 1s [Retry 1/5].
2025-11-01 17:52:30,564 WARNING  '(MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /roberta-base/resolve/main/tokenizer_config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"), '(Request ID: b5791801-68c5-4727-a790-22a812df7041)')' thrown while requesting HEAD https://huggingface.co/roberta-base/resolve/main/tokenizer_config.json
2025-11-01 17:52:30,564 WARNING  Retrying in 2s [Retry 2/5].
2025-11-01 17:52:33,141 WARNING  '(MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /roberta-base/resolve/main/tokenizer_config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"), '(Request ID: 9eb7bdcd-7c13-484d-9841-afdefea3757f)')' thrown while requesting HEAD https://huggingface.co/roberta-base/resolve/main/tokenizer_config.json
2025-11-01 17:52:33,141 WARNING  Retrying in 4s [Retry 3/5].
2025-11-01 17:52:37,679 WARNING  '(MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /roberta-base/resolve/main/tokenizer_config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"), '(Request ID: 1ac1844c-1b5e-450d-8173-5730742ca68c)')' thrown while requesting HEAD https://huggingface.co/roberta-base/resolve/main/tokenizer_config.json
2025-11-01 17:52:37,680 WARNING  Retrying in 8s [Retry 4/5].
2025-11-01 17:52:46,236 WARNING  '(MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /roberta-base/resolve/main/tokenizer_config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"), '(Request ID: a445c687-94c5-4a1f-9c90-02645b950f05)')' thrown while requesting HEAD https://huggingface.co/roberta-base/resolve/main/tokenizer_config.json
2025-11-01 17:52:46,237 WARNING  Retrying in 8s [Retry 5/5].
2025-11-01 17:52:54,812 WARNING  '(MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /roberta-base/resolve/main/tokenizer_config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"), '(Request ID: 03ae9fc0-8607-4291-bead-96623883deb4)')' thrown while requesting HEAD https://huggingface.co/roberta-base/resolve/main/tokenizer_config.json
